test_dataset,,diversity,accuracy,f1
ECG5000,diversity,1.0,-0.41616552480448105,-0.4163380094241086
ECG5000,accuracy,-0.41616552480448105,1.0,0.9999930874783343
ECG5000,f1,-0.4163380094241086,0.9999930874783343,1.0
Earthquakes,diversity,1.0,8.766789379989808e-17,8.766789379989808e-17
Earthquakes,accuracy,8.766789379989808e-17,1.0,1.0
Earthquakes,f1,8.766789379989808e-17,1.0,1.0
ElectricDevices,diversity,1.0,-0.3768843596844072,-0.38026519378442086
ElectricDevices,accuracy,-0.3768843596844072,1.0,0.9999247408064058
ElectricDevices,f1,-0.38026519378442086,0.9999247408064058,1.0
EthanolLevel,diversity,1.0,-0.27139722918827724,-0.41947810171878264
EthanolLevel,accuracy,-0.27139722918827724,1.0,0.1604961549110031
EthanolLevel,f1,-0.41947810171878264,0.1604961549110031,1.0
Phoneme,diversity,1.0,-0.35245904437012504,-0.3539001643280559
Phoneme,accuracy,-0.35245904437012504,1.0,0.9998912719203948
Phoneme,f1,-0.3539001643280559,0.9998912719203948,1.0
