architecture,,diversity,train_time,accuracy,precision,recall,f1,samples
cnn,diversity,1.0,0.5498539502716208,-0.13185379583686324,0.21051100581806406,-0.13185379583686324,-0.17198257175417458,
cnn,train_time,0.5498539502716208,1.0,-0.21721777185931926,0.33001723299725905,-0.21721777185931926,-0.2858862376073912,
cnn,accuracy,-0.13185379583686324,-0.21721777185931926,1.0,0.12164791082463974,1.0,0.9920697559106479,
cnn,precision,0.21051100581806406,0.33001723299725905,0.12164791082463974,1.0,0.12164791082463974,0.13350470897729919,
cnn,recall,-0.13185379583686324,-0.21721777185931926,1.0,0.12164791082463974,1.0,0.9920697559106479,
cnn,f1,-0.17198257175417458,-0.2858862376073912,0.9920697559106479,0.13350470897729919,0.9920697559106479,1.0,
cnn,samples,,,,,,,
rnn,diversity,1.0,0.8791422821487925,-0.022531043405408076,0.07332626259580458,-0.022531043405408076,-0.032312603498832235,
rnn,train_time,0.8791422821487925,1.0,-0.013879317359143004,0.04516961114560494,-0.013879317359143004,-0.019904842869052412,
rnn,accuracy,-0.022531043405408076,-0.013879317359143004,1.0,-0.31404826242320566,1.0,0.9938222620000701,
rnn,precision,0.07332626259580458,0.04516961114560494,-0.31404826242320566,1.0,-0.31404826242320566,-0.2214696972673269,
rnn,recall,-0.022531043405408076,-0.013879317359143004,1.0,-0.31404826242320566,1.0,0.9938222620000701,
rnn,f1,-0.032312603498832235,-0.019904842869052412,0.9938222620000701,-0.2214696972673269,0.9938222620000701,1.0,
rnn,samples,,,,,,,
