diversity,test_dataset,train_time,accuracy,precision,recall,f1,samples
1,ECG5000,223.2934327920278,0.6906675487631566,0.8080793896059563,0.6906675487631566,0.5785558781370251,500.0
1,Earthquakes,223.2934327920278,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
1,ElectricDevices,223.2934327920278,0.3299479071541374,0.751147924608898,0.3299479071541374,0.2063228644830529,500.0
1,EthanolLevel,223.2934327920278,0.2569706358427423,0.753058373984853,0.2569706358427423,0.12656634806087272,500.0
1,Phoneme,223.2934327920278,0.11753514878514877,0.8518584514139679,0.11753514878514877,0.02833324663965695,500.0
3,ECG5000,102.10206349690755,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
3,Earthquakes,102.10206349690755,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
3,ElectricDevices,102.10206349690755,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
3,EthanolLevel,102.10206349690755,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
3,Phoneme,102.10206349690755,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
5,ECG5000,125.22377626101176,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
5,Earthquakes,125.22377626101176,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
5,ElectricDevices,125.22377626101176,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
5,EthanolLevel,125.22377626101176,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
5,Phoneme,125.22377626101176,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
10,ECG5000,335.02873190244037,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
10,Earthquakes,335.02873190244037,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
10,ElectricDevices,335.02873190244037,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
10,EthanolLevel,335.02873190244037,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
10,Phoneme,335.02873190244037,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
20,ECG5000,663.0952397982279,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
20,Earthquakes,663.0952397982279,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
20,ElectricDevices,663.0952397982279,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
20,EthanolLevel,663.0952397982279,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
20,Phoneme,663.0952397982279,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
40,ECG5000,670.4271103541056,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
40,Earthquakes,670.4271103541056,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
40,ElectricDevices,670.4271103541056,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
40,EthanolLevel,670.4271103541056,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
40,Phoneme,670.4271103541056,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
